gene	Esophagus...Mucosa	Pancreas	Pituitary	Whole.Blood	Cells...Transformed.fibroblasts	Minor.Salivary.Gland	Lung
ENSG00000212855.5	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000129845.5	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000224075.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000228379.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000229208.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000231874.3	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000187657.6	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000239225.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000234950.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000236718.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000243643.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000225685.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000235193.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000251766.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000235691.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000252289.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000226975.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000231411.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000226061.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000237447.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000251966.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000225840.1	0.001	0.001	0.001	0.0391	0.001	0.001	0.001
ENSG00000251705.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000271365.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000271309.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000270570.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000263502.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000252855.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000258567.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000259154.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000259029.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000258991.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000270455.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
