gene	Esophagus...Mucosa	Pancreas	Pituitary	Whole.Blood	Cells...Transformed.fibroblasts	Minor.Salivary.Gland	Lung
ENSG00000223972.4	0.03987	0.027255	0.04817	0.1175	0.03682	0.03569	0.06655
ENSG00000227232.4	10.27	5.553	15.84	8.439	6.1	11.06	13.68
ENSG00000243485.2	0.04791	0.034055	0.04549	0.001	0.04019	0.04546	0.06216
ENSG00000237613.2	0.03151	0.022915	0.02954	0.02574	0.03206	0.0329	0.0379
ENSG00000268020.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000240361.1	0.02428	0.001	0.0348	0.001	0.001	0.04005	0.03268
ENSG00000186092.4	0.04184	0.028115	0.03887	0.001	0.001	0.04368	0.04384
ENSG00000238009.2	0.09172	0.092265	0.158	0.1639	0.09267	0.1381	0.1547
ENSG00000233750.3	0.2062	0.08988	0.1687	1.168	0.0878	0.1484	0.2728
ENSG00000237683.5	27.72	7.0435	15.02	220.3	0.4261	13.3	34.69
ENSG00000268903.1	1.677	0.394	1.194	15.8	0.001	0.9024	2.042
ENSG00000239906.1	1.902	0.44885	0.8352	11.87	0.001	0.8444	2.591
ENSG00000241860.2	0.6378	0.2351	0.4487	1.61	0.09868	0.4531	0.7954
ENSG00000222623.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000241599.1	0.09922	0.001	0.001	0.1553	0.001	0.0854	0.08407
ENSG00000228463.4	0.3085	0.2669	1.006	1.154	0.3524	0.4886	0.541
ENSG00000237094.7	0.1705	0.083245	0.2834	0.5655	0.1101	0.1529	0.3317
ENSG00000250575.1	0.6455	0.1515	0.3916	6.21	0.001	0.3458	0.6664
ENSG00000233653.3	0.06684	0.04378	0.06445	0.05571	0.0661	0.07334	0.08487
ENSG00000224813.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000235249.1	0.02916	0.001	0.03127	0.001	0.02787	0.03686	0.04355
ENSG00000269732.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000256186.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000236601.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000236743.1	0.06587	0.04289	0.05555	0.04665	0.06265	0.06983	0.07741
ENSG00000236679.2	0.1277	0.08364	0.1112	0.1031	0.1702	0.1478	0.159
ENSG00000231709.1	0.1537	0.071545	0.1262	0.03112	0.06663	0.08459	0.0806
ENSG00000235146.2	0.07922	0.001	0.09706	0.001	0.001	0.001	0.001
ENSG00000239664.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000230021.3	0.05138	0.03509	0.0795	0.0434	0.04693	0.06028	0.07442
ENSG00000223659.1	0.001	0.02853	0.001	0.001	0.001	0.04661	0.02337
ENSG00000225972.1	5.892	5.5455	7.311	4.364	6.306	8.829	9.282
ENSG00000225630.1	330.6	340.55	514	56.35	201.9	512.1	444.7
ENSG00000237973.1	46.06	25.095	20.53	14.17	35.98	48.9	46.4
ENSG00000229344.1	11.35	6.562	11.85	5.665	11.15	12.65	12.76
ENSG00000240409.1	10.32	7.5835	12.56	4.042	9.593	12.41	13.22
ENSG00000248527.1	1995	1411	2510	487	1379	2473	2172
ENSG00000198744.5	14.15	8.6045	16.7	6.766	11.07	18.2	15.31
ENSG00000268663.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000185097.2	0.03082	0.001	0.001	0.001	0.001	0.03033	0.03589
ENSG00000229376.3	0.1244	0.09624	0.4308	0.06438	0.1189	0.1746	0.1295
ENSG00000224956.5	4.258	2.468	9.998	9.402	2.975	4.091	5.952
ENSG00000235373.1	0.1197	0.06991	0.1491	0.1753	0.09229	0.1334	0.1537
ENSG00000223181.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000240618.1	0.3606	0.21495	0.4778	0.2999	0.2757	0.419	0.4277
ENSG00000229905.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000228327.2	1.796	1.325	3.414	0.8455	2.502	2.718	2.335
ENSG00000237491.4	0.4943	0.27755	2.244	0.1252	0.4856	0.7509	0.695
ENSG00000230092.3	0.7037	0.50145	1.096	0.4978	1.111	1.195	0.9996
ENSG00000269831.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000240453.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000177757.1	0.3274	0.15825	0.7004	0.09397	0.9092	0.5689	0.5759
ENSG00000225880.4	4.091	1.0955	9.898	1.601	3.683	5.488	7.024
ENSG00000228794.4	3.274	2.3085	18.6	0.914	3.723	3.269	6.016
ENSG00000230368.2	0.05554	0.034175	0.2016	0.027	0.036	0.03738	0.08377
ENSG00000234711.1	0.09666	0.041355	0.2588	0.04469	0.05557	0.06361	0.08651
ENSG00000269308.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000272438.1	0.2506	0.05493	1.863	0.001	0.6382	0.09442	0.3143
ENSG00000230699.2	0.2178	0.050395	1.142	0.03243	0.574	0.07999	0.2896
ENSG00000241180.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000223764.2	1.521	0.3342	19.31	0.04579	1.066	0.5897	2.763
ENSG00000187634.6	1.815	1.051	47.81	0.06776	1.435	0.8788	4.481
ENSG00000268179.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000188976.6	77.24	30.5	57.56	17.11	83.26	51.19	57.32
ENSG00000187961.9	17.55	4.8935	21.42	3.992	14.96	13.04	15.6
ENSG00000187583.6	74.97	0.64455	0.6011	0.5506	1.386	11.51	2.35
ENSG00000187642.5	21.1	0.21755	0.3004	0.2262	0.4181	3.929	0.8326
ENSG00000272512.1	2.536	2.9545	6.547	0.1152	0.1056	2.537	3.982
ENSG00000188290.6	15.8	8.119	31.05	1.419	1.688	22.79	28.81
ENSG00000231702.2	0.4921	0.24325	0.6455	0.001	0.7732	0.5213	0.6529
ENSG00000224969.1	0.1691	0.07582	0.638	0.001	0.1035	0.1846	0.4183
ENSG00000187608.5	14.12	7.053	37.24	35.27	52.72	14.44	79.46
ENSG00000188157.9	29.2	25.01	17.53	0.6703	33.67	45.47	52.39
ENSG00000217801.5	10.41	1.3855	3.886	0.3476	0.2292	3.708	1.813
ENSG00000273443.1	0.2974	0.2299	0.8196	0.04767	0.08014	0.3173	0.3186
ENSG00000237330.2	34.09	0.100685	0.118	0.03435	0.06892	3.023	0.8515
ENSG00000131591.13	10.42	2.76	8.586	2.741	5.966	8.964	10.32
ENSG00000223823.1	0.08916	0.3084	0.2258	0.1388	0.03669	0.7274	0.1754
ENSG00000207730.1	0.7151	0.44165	1.8	0.001	0.001	0.3795	0.001
ENSG00000207607.1	0.4864	0.32875	1.498	0.001	0.001	0.001	0.001
ENSG00000198976.1	1.33	0.8872	3.246	0.001	0.001	1.011	0.001
ENSG00000272141.1	31.28	17.08	55.75	0.04902	0.07869	34.81	5.181
ENSG00000205231.1	0.1419	0.11605	0.7513	0.02667	0.02563	0.1289	0.5743
ENSG00000162571.9	0.4208	0.19745	3.649	0.05087	0.04214	0.4135	1.73
ENSG00000186891.9	5.288	0.18005	6.329	6.662	0.1455	6.588	5.713
ENSG00000186827.6	1.395	0.83045	3.261	5.961	0.1251	2.834	12.75
ENSG00000078808.12	90.94	67.8	152.5	67.17	265.2	123.3	161.9
ENSG00000176022.3	10.83	8.681	18.89	4.756	31.99	10.71	15.65
ENSG00000184163.3	2.374	0.43975	1.592	0.886	1.662	0.9825	2.301
ENSG00000260179.1	0.5119	0.19475	0.5568	0.3672	0.4281	0.4178	0.9942
ENSG00000160087.16	27.82	11.735	32.07	15.75	32.73	22.48	27.86
ENSG00000230415.1	1.935	1.48	14.55	0.5986	2.257	3.345	3.118
ENSG00000162572.15	4	2.319	28.52	1.395	2.597	5.508	5.135
ENSG00000131584.14	71.87	15.245	158.9	17.81	25.18	50.77	51.98
ENSG00000169972.7	29.23	9.585	28.36	7.951	24.97	20.67	16.32
ENSG00000127054.14	44.31	28.76	76.88	23.9	47.96	48.29	57.64
ENSG00000240731.1	17.51	11.86	39.17	3.2	11.87	21.38	22.49
ENSG00000224051.2	56.33	11.335	13.86	14.5	22.28	39.54	24.3
ENSG00000169962.4	1.689	0.20005	3.116	0.9595	0.2328	2.219	1.003
ENSG00000107404.13	89.19	42.425	87.07	10.78	62	67.33	72.41
ENSG00000162576.12	39.31	9.134	56.25	0.9907	456.1	68.65	121.6
ENSG00000175756.9	84.29	42.65	90.94	62.87	104.9	71.29	74.06
ENSG00000223663.2	0.2375	0.14005	0.3063	0.001	0.1982	0.2287	0.2706
ENSG00000221978.7	126.7	79.035	238.6	35.47	175.8	164.1	197.6
ENSG00000224870.3	13.72	8.426	18.55	7.648	18.32	15.66	16.5
ENSG00000242485.1	65.07	35.52	86.81	23.56	82.39	59.93	71.72
ENSG00000272455.1	5.2	1.658	8.702	1.062	4.551	4.785	3.918
ENSG00000235098.4	13.94	5.61	2.69	0.08213	1.033	12.64	14.65
ENSG00000225905.1	1.996	0.96125	0.7808	0.001	0.2116	1.911	1.141
ENSG00000205116.3	0.367	0.07068	0.1565	0.03981	0.1023	0.2853	0.143
ENSG00000225285.1	2.445	1.2295	1.336	0.03679	0.1344	5.55	2.724
ENSG00000179403.10	24.5	13.64	12.34	0.1415	3.826	36.43	22.3
ENSG00000215915.5	1.385	3.058	3.898	0.1761	0.1321	2.333	3.408
ENSG00000160072.15	25.27	12.545	44.73	8.175	22.78	21.93	30.41
ENSG00000197785.9	22.88	11.095	28.85	5.301	27.1	17.24	18.85
ENSG00000205090.4	2.215	0.4751	17.65	0.3317	6.605	2.326	4.601
ENSG00000160075.10	144	63.855	156.4	96.92	151	116.8	147.5
ENSG00000215014.3	0.5309	0.3406	2.272	0.1768	1.23	0.9293	0.6498
ENSG00000236684.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000228594.1	12.12	0.59625	21.05	2.061	8.267	2.355	4.806
ENSG00000272106.1	11.38	4.0415	62.86	2.667	6.296	12.44	12.63
ENSG00000197530.8	33.39	12.345	84.54	13.6	16.49	26.86	38.3
ENSG00000189409.8	0.2753	0.10525	1.094	0.2451	0.04157	0.1466	2.244
ENSG00000248333.3	17.98	10.47	24.04	15.6	19.98	18.96	31.28
ENSG00000272004.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000189339.7	16.38	11.445	44.36	15.45	25.71	19.73	25.44
ENSG00000269737.1	1.872	1.4355	3.765	1.353	1.703	3.011	3.823
ENSG00000269227.1	1.354	1.0295	2.496	0.7338	1.453	2.678	2.985
ENSG00000215914.3	0.416	0.27555	1.412	0.4533	0.03019	0.5596	1.059
ENSG00000008128.18	19.43	10.79	31.67	17.97	20.47	21.99	37.5
ENSG00000227775.3	4.129	2.949	10.63	3.016	5.667	6.273	6.396
ENSG00000215790.2	2.177	1.578	4.963	1.328	3.625	3.384	3.769
ENSG00000008130.11	26.09	17.525	29.37	125.7	33.35	35.07	53.56
ENSG00000078369.13	127.9	49.475	189.6	163.4	321.2	138.1	250.8
ENSG00000231050.1	0.4855	0.36725	3.267	0.2369	0.6812	0.6793	0.503
ENSG00000169885.5	1.038	1.2655	2.049	0.1932	1.147	1.14	0.8939
ENSG00000178821.8	1.573	89.53	2.055	0.09644	0.6192	2.38	1.756
ENSG00000142609.13	0.0274	0.0089675	0.8881	0.007374	0.001	0.02693	1.445
ENSG00000233542.1	0.07807	0.001	0.2635	0.001	0.001	0.04527	0.06212
ENSG00000187730.6	0.5687	0.1071	4.325	0.09696	0.03911	0.4997	1.507
ENSG00000226969.1	0.001	0.001	0.2768	0.001	0.001	0.001	0.1876
ENSG00000067606.11	8.072	3.2125	12.17	2.924	0.2854	5.903	22.3
ENSG00000271806.1	0.1175	0.04131	0.2574	0.2304	0.001	0.09633	0.3121
ENSG00000182873.4	4.271	1.8865	18.44	5.453	0.9654	5.021	16.91
ENSG00000162585.12	7.022	4.081	23.7	5.86	13.85	6.93	11.83
ENSG00000269554.1	3.508	3.5145	13.1	2.958	6.331	4.176	6.419
ENSG00000203301.2	0.2733	0.2567	2.778	0.05563	0.9737	0.4543	1.001
ENSG00000234396.3	0.2146	0.11785	1.331	0.001	0.1804	0.2927	0.3959
ENSG00000157933.9	36.28	9.7215	45.07	12.83	62.29	41.92	73.5
ENSG00000116151.9	1.249	1.004	6.416	0.2646	1.166	1.833	2.263
ENSG00000272161.1	0.001	0.13905	1.69	0.001	0.001	0.1583	0.2449
ENSG00000269753.1	0.1429	0.2868	2.602	0.001	0.001	0.4697	0.5243
ENSG00000269896.1	1.621	1.3195	10.59	0.3774	0.8727	2.136	2.035
ENSG00000272420.1	1.241	0.6639	5.469	0.2064	0.6784	1.286	1.456
ENSG00000271921.1	0.86	0.12645	1.834	0.001	0.6849	0.5096	0.3525
ENSG00000271847.1	0.9088	0.27115	3.058	0.001	0.9423	0.5534	0.5154
ENSG00000178642.5	0.5427	0.1699	1.32	0.1956	0.4455	0.3737	0.3243
ENSG00000157916.14	75.78	32.465	72.13	31.61	103.4	57.43	64.29
ENSG00000157911.5	14.17	7.6765	18.4	2.129	19.38	13.1	10.5
ENSG00000149527.13	36.42	4.205	24.03	3.321	0.1646	24.23	3.761
ENSG00000224387.1	1.42	0.45445	1.463	0.1991	0.001	1.172	0.2492
ENSG00000229393.1	1.465	0.3725	1.451	0.1776	0.001	1.116	0.2401
ENSG00000157881.9	10.73	4.949	21.83	11.02	13.93	13.32	19.53
ENSG00000197921.5	0.9027	0.04143	2.209	0.001	0.001	0.1403	0.27
ENSG00000272449.1	1.504	1.336	9.322	7.965	0.3154	1.77	5.916
ENSG00000238164.2	1.001	1.5115	3.21	3.105	0.1935	3.076	6.999
ENSG00000157873.13	44.89	16.085	64.29	101.6	20.67	77.78	159.3
ENSG00000225931.3	0.1155	0.039505	0.202	0.3875	0.05764	0.2008	0.7809
ENSG00000228037.1	0.4576	0.13965	0.5266	1.256	0.1371	0.6047	1.807
ENSG00000157870.10	16.37	4.5685	16.55	5.646	20.94	11.77	24.11
ENSG00000142606.11	0.5037	0.16755	0.127	0.1362	0.04218	0.5039	1.415
ENSG00000237058.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000215912.7	0.03542	0.07511	0.4885	0.05642	0.02268	0.1305	0.3673
ENSG00000233234.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000231630.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000169717.5	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000177133.6	0.5107	8.45	1.04	0.04008	0.05938	0.5079	3.054
ENSG00000142611.12	0.4959	4.076	0.3433	0.02289	0.07415	0.4589	5.285
ENSG00000226286.1	0.001	0.13825	0.001	0.001	0.001	0.001	0.2929
ENSG00000272235.1	0.001	0.034205	0.02081	0.001	0.06958	0.012	0.07265
ENSG00000130762.10	24.6	7.963	29.91	0.04709	0.07251	26.48	8.097
ENSG00000272088.1	0.7815	0.2457	1.343	0.001	0.001	0.8807	0.6447
ENSG00000162591.11	18.87	3.8885	6.91	7.827	2.658	26.79	43.7
ENSG00000207776.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000238260.1	1.093	0.62415	7.586	1.675	1.01	2.688	2.026
ENSG00000158109.10	77.04	29.36	98.13	45.74	69.89	63.5	67.27
ENSG00000116213.11	19.79	11.065	31.48	17.26	22.58	18.69	26.08
ENSG00000078900.10	5.707	0.2489	0.7396	0.1493	0.1309	4.578	0.9465
ENSG00000227589.1	0.001	0.001	1.274	0.02978	0.001	0.001	0.001
ENSG00000235131.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000227372.6	7.982	7.349	22.41	2.451	16.41	15.09	17.98
ENSG00000162592.4	0.001	0.001	0.0465	0.001	0.001	0.01643	0.001
ENSG00000235169.3	0.9355	3.401	15.52	14.37	0.8686	8.735	3.547
ENSG00000130764.5	46.16	28.53	56.66	11.57	47.32	45.71	47.09
ENSG00000266075.1	0.5596	0.5332	1.994	0.2071	0.5347	0.6348	0.6894
ENSG00000272153.1	3.626	3.8875	10.12	1.264	4.276	5.457	4.678
ENSG00000116198.8	9.387	5.409	14.51	2.851	11.66	10.6	11.57
ENSG00000169598.11	3.408	4.29	12.88	2.235	6.34	5.272	6.434
ENSG00000198912.6	17.66	9.0685	16.02	8.11	26.33	16.52	22.19
ENSG00000236423.1	0.3572	0.1206	0.5579	0.1751	0.1885	0.3756	0.2682
ENSG00000233304.1	0.001	0.001	0.2619	0.001	0.001	0.001	0.001
ENSG00000226374.1	0.4042	0.001	0.1754	0.001	0.001	0.001	0.001
ENSG00000229280.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000235054.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000227169.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000232596.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000196581.6	0.252	0.888	0.6054	0.01014	0.0239	0.2443	0.8462
ENSG00000231510.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000260972.1	0.001	0.9976	0.04735	0.001	0.001	0.001	0.001
ENSG00000264341.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000236948.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000216045.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000264101.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000131697.13	4.417	2.876	21.74	1.888	7.599	5.098	10.02
ENSG00000266687.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000069424.10	2.881	1.161	16.27	57.03	3.348	4.651	30.42
ENSG00000116254.13	0.2094	0.18065	96.39	0.05126	0.0869	0.2206	0.4194
ENSG00000116251.5	187.1	101.05	128.1	48.23	278.1	159.7	167.2
ENSG00000226944.1	0.8392	2	3.51	0.001	1.427	2.337	0.6837
ENSG00000158286.8	16.65	7.966	20.93	0.288	5.906	19.64	6.362
ENSG00000116237.11	39.02	13.01	47.03	4.734	69.27	32.82	33.14
ENSG00000225077.2	0.1395	0.001	0.0759	0.001	0.1442	0.05603	0.04947
ENSG00000173673.7	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000158292.6	11	1.0405	23.41	0.9952	12.25	4.73	20.32
ENSG00000097021.15	19.66	2.6255	55.79	2.551	26.66	6.718	14.9
ENSG00000069812.7	28.56	0.01409	0.2459	0.008736	0.07442	1.146	0.8703
ENSG00000187017.10	18.74	0.1234	28.61	1.754	0.04978	4.231	0.8456
ENSG00000265392.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000231868.1	0.2628	0.001	0.2803	0.001	0.001	0.08401	0.001
ENSG00000215788.5	37.88	2.136	127.6	11.52	1.685	14.35	13.88
ENSG00000171680.16	32.15	2.2685	83.4	0.3522	3.149	12.94	11.3
ENSG00000162408.10	7.661	4.859	8.934	1.964	9.07	6.576	8.34
ENSG00000253022.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000229519.2	0.2434	0.3636	0.2178	0.001	0.3824	0.3532	0.2769
ENSG00000173662.15	0.08299	0.030935	0.4762	0.02746	0.1272	0.4176	0.3715
ENSG00000204859.7	18.27	10.4	36.33	36.21	12.88	22.74	30.14
ENSG00000162413.12	35.94	17.81	42.37	27.21	33.49	30.72	24.85
ENSG00000116273.5	20.59	5.5485	20.37	5.909	28.76	16.14	19.23
ENSG00000041988.11	8.434	6.302	15.71	5.965	12.56	9.704	13
ENSG00000007923.11	20.22	8.719	14.34	3.601	31.18	16.36	18.01
ENSG00000228750.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000239166.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000237436.1	0.2079	0.084655	0.9306	0.001	0.1704	0.3197	0.1893
ENSG00000171735.14	3.935	1.877	12.29	1.201	5.632	5.648	7.909
ENSG00000227950.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000237365.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000207056.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000237402.1	0.001	0.001	0.4926	0.001	0.001	0.001	0.001
ENSG00000237728.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000225126.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000270171.1	0.05726	0.03707	1.844	0.001	0.001	0.276	0.1632
ENSG00000270035.1	0.1695	0.25625	2.206	0.001	0.001	1.106	0.8133
ENSG00000269978.1	0.3836	0.39855	7.933	0.001	0.001	1.712	1.76
ENSG00000049245.8	81.22	17.295	72.3	63.01	133.1	58.47	119.1
ENSG00000269925.1	3.187	1.3475	5.114	1.907	2.789	2.937	6.509
ENSG00000049246.10	10.45	4.8935	30.17	0.3838	2.268	9.176	12.04
ENSG00000236266.1	0.7698	0.2161	4.1	0.08513	0.1751	0.8678	1.204
ENSG00000049247.9	0.07211	0.001	0.08711	0.299	0.001	0.03836	0.2427
ENSG00000049249.4	0.05534	0.026225	0.0545	1.452	0.03095	0.05426	0.4731
ENSG00000270330.1	0.001	0.001	0.001	0.1263	0.001	0.001	0.001
ENSG00000116288.8	106.9	82.485	250.8	62.44	280.7	134.9	165
ENSG00000200344.1	0.001	0.001	0.3992	0.001	0.001	0.001	0.001
ENSG00000116285.8	38.15	171.15	124.7	0.8972	92.36	81.98	102.6
ENSG00000238290.1	0.05748	0.12885	0.411	0.001	0.1056	0.3354	0.1517
ENSG00000232848.1	0.03568	0.02632	0.04073	0.001	0.05438	0.04143	0.001
ENSG00000229305.1	0.001	0.0282	0.001	0.001	0.001	0.001	0.001
ENSG00000200975.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000227634.1	0.001	0.001	0.1051	0.001	0.001	0.001	0.107
ENSG00000233645.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000265414.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000251977.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000162426.10	1.353	0.552	19.13	0.2229	4.62	2.199	2.538
ENSG00000252254.1	0.001	0.001	0.2924	0.001	0.001	0.001	0.001
ENSG00000142599.13	30.37	16.25	47.24	18.89	33.16	42.14	54.17
ENSG00000232912.1	0.4366	0.3345	0.7967	2.965	0.3173	0.8263	1.091
ENSG00000221083.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000270282.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000234619.1	0.05928	0.03867	0.03491	0.001	0.0751	0.06554	0.05777
ENSG00000224315.2	0.05494	0.001	0.06575	0.001	0.03943	0.06537	0.05003
ENSG00000222511.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000226545.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000228423.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000229716.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000074800.9	1242	116.25	342.2	700.6	1996	796.5	706.2
ENSG00000236269.1	0.536	0.080715	0.1735	0.8321	0.7674	0.5559	0.8208
ENSG00000230679.1	0.3575	0.2927	2.788	0.2025	0.3971	1.018	0.3231
ENSG00000201725.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000238249.1	0.04127	0.001	0.07032	0.1173	0.06546	0.03765	0.07335
ENSG00000232208.2	0.001	0.001	0.001	0.6379	0.001	0.001	0.001
ENSG00000232663.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000131686.10	0.01363	0.001	0.08328	0.08642	0.001	0.07289	0.01399
ENSG00000265141.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000197241.3	0.02055	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000142583.13	2.704	0.1437	1.824	1.424	0.5236	1.736	0.928
ENSG00000252404.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000180758.10	38.65	2.792	2.503	0.685	3.086	10.64	11.91
ENSG00000207865.1	0.001	0.001	0.001	0.001	0.3363	0.001	0.001
ENSG00000228526.2	0.6614	0.23855	0.4927	0.001	1.364	1.761	0.857
ENSG00000234546.2	3	1.015	2.353	0.001	8.933	3.42	2
ENSG00000049239.8	21.95	13.97	25.49	12.51	57.17	42.33	47.13
ENSG00000252841.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000171621.9	31.95	14.925	13.87	0.9519	15.06	21.56	36.34
ENSG00000252956.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000235263.1	0.001	0.001	0.001	0.001	0.001	0.3901	0.001
ENSG00000171612.6	3.724	1.855	9.27	1.014	6.119	7.364	4.922
ENSG00000231181.1	0.5516	0.3417	1.203	0.06474	0.7689	1.065	0.6154
ENSG00000188807.8	5.601	2.4285	17.54	0.7242	6.938	4.979	5.086
ENSG00000171608.11	6.63	1.783	4.926	102	7.69	5.864	23.12
ENSG00000179840.5	0.01252	0.001	0.001	2.576	0.001	0.02089	0.1668
ENSG00000233268.3	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000231789.2	1.125	2.1945	5.008	0.296	2.252	2.718	1.901
ENSG00000171603.12	78.01	39.29	128.8	9.537	102.2	115.4	64.88
ENSG00000271264.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000178585.10	97.31	11.84	25.01	6.43	10.74	42.29	31.91
ENSG00000162441.7	14.35	5.1535	14.05	5.595	22.75	11.3	11.84
ENSG00000228150.1	0.5563	0.2202	0.7946	0.2047	0.4926	0.4009	0.3927
ENSG00000173614.9	4.928	2.056	4.514	2.449	10.6	4.538	4.151
ENSG00000202415.1	0.3654	0.08721	0.2789	0.3944	0.3323	0.2724	0.2776
ENSG00000265521.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000162444.11	28.64	3.7495	16.93	22.3	0.2303	20.05	9.35
ENSG00000225786.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000130939.14	28.51	15.36	24.81	9.334	31.51	20.43	19.81
ENSG00000224340.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000233623.2	0.1127	0.039495	0.05842	0.001	0.001	0.1427	0.1455
ENSG00000201746.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000054523.12	14.29	6.2045	14.88	6.687	13.12	12.78	13.52
ENSG00000264881.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000199562.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000265945.1	0.3813	0.18155	0.4671	0.3397	0.001	0.414	0.4122
ENSG00000142657.16	631.7	17.39	65.16	619	131.4	99.5	138.8
ENSG00000271989.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000175279.17	10.81	6.619	34.53	0.7468	20.69	12.75	10.95
ENSG00000241563.2	1.152	0.5581	5.831	0.4165	1.161	1.303	1.343
ENSG00000160049.7	14.48	5.7825	13.15	2.826	26.25	12.1	13.71
ENSG00000142655.8	25.47	6.503	24	8.323	21.25	20.44	25.54
ENSG00000243267.2	0.1806	0.11735	0.3467	0.001	0.164	0.3889	0.3624
ENSG00000130940.10	15.3	3.2635	3.523	1.45	0.0892	23.83	18.68
ENSG00000272078.1	2.186	0.4505	0.7377	0.6035	0.0234	4.383	3.681
ENSG00000225158.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000175262.10	0.05762	1.892	0.3834	0.1382	0.001	0.2011	0.429
